Identifiant de l'élément;Code de la catégorie;Nom base français;Nom frontière français;1er niveau;2eme niveau;3eme niveau;4eme niveau;5eme niveau;Unité anglais;Structure;Somme de Total poste non décomposé2;Nombre de Total poste non décomposé,,,,,
24380;Achats de biens > Bâtiments,ouvrages d'art et voirie > Bâtiments;Maison éco-construite « bois,paille,pierre,terre »;(vide);Achats de biens ; Bâtiments,ouvrages d'art et voirie ;;;;(vide);élément décomposé par poste et par gaz;144;1
24070;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;306;1,,,,,
24678;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Café;poids ingéré après achat en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/kg of solid coffee ingested;élément non décomposé;15,7;1,,
24071;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;181;1,,,,,
24680;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Vin;en magasin,prêt à consommer;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/litre of liquid;élément non décomposé;1,43;1,
24072;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;255;1,,,,,
24682;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Soda;en magasin,prêt à consommer;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/litre of liquid;élément non décomposé;1,09;1,
24073;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;318;1,,,,,
24684;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Eau;(vide);Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/litre of liquid;élément non décomposé;0,000168;1,,
24074;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;271;1,,,,,
24918;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Eau minérale;prêt à boire;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/ration;élément décomposé par poste;0,196;1,,
24075;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;314;1,,,,,
24920;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Verre de Soda au cola;prêt à boire;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/ration;élément décomposé par poste;0,326;1,,
24076;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;184;1,,,,,
24922;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Verre de vin;prêt à boire;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/ration;élément décomposé par poste;0,215;1,,
24077;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;354;1,,,,,
24925;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Boissons;Alcool;pur;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ;;;;kgCO2e/ton;élément décomposé par gaz;1501;1,,,
24078;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;262;1,,,,,
24935;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Levures;Levure liquide;(vide);Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/ton in its natural state;élément décomposé par gaz;363;1,,,
24079;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;326;1,,,,,
24937;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Levures;Levure sèche;(vide);Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/ton in its natural state;élément décomposé par gaz;3204;1,,,
24080;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;248;1,,,,,
24998;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;130;1,,,,,
24081;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;296;1,,,,,
25000;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;320;1,,,,,
24082;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 11 t à 19 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;272;1,,,,,
25002;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;280;1,,,,,
24083;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;1,67;1,,,
25004;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;390;1,,,,,
24084;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;16,4;1,,,
25006;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;590;1,,,,,
24085;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;39,1;1,,,
25008;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;170;1,,,,,
24086;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;7,94;1,,,
25010;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;2300;1,,,,,
24087;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;32,3;1,,,
25012;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;1800;1,,,,,
24088;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;23,7;1,,,
25014;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;900;1,,,,,
24089;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;6,69;1,,,
25016;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;600;1,,,,,
24090;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;6,38;1,,,
25018;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;1600;1,,,,,
24091;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;0;1,,,,
25020;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;1700;1,,,,,
24092;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;8,82;1,,,
25022;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;700;1,,,,,
24093;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;9,41;1,,,
25024;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;700;1,,,,,
24094;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;6,8;1,,,
25026;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;120;1,,,,,
24095;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;6,85;1,,,
25028;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;120;1,,,,,
24096;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;12,5;1,,,
25030;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;210;1,,,,,
24097;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;3,24;1,,,
25032;Achats de services > Ratios monétaires;Service;(vide);Achats de services ;;;;;kgCO2e/keuro;élément non décomposé;220;1,,,,,
24098;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;23,8;1,,,
25380;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Steak de boeuf;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;28,6;1,,
24099;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;5,22;1,,,
25382;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Saucisson de porc;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;5,12;1,,
24100;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;22,1;1,,,
25384;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Lardons;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;4,46;1,,
24101;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;3,44;1,,,
25386;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Blanc de poulet;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;4,75;1,,
24102;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;24,8;1,,,
25388;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Cuisse de dinde;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;5,3;1,,
24103;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;12,5;1,,,
