Identifiant de l'élément;Code de la catégorie;Nom base français;Nom frontière français;1er niveau;2eme niveau;3eme niveau;4eme niveau;5eme niveau;Unité anglais;Structure;Somme de Total poste non décomposé2;Nombre de Total poste non décomposé,,,,,
24109;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;162;1,,,
25402;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Produits laitiers et oeufs;Beurre;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;9,49;1,,
24110;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;169;1,,,
25404;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Produits laitiers et oeufs;Oeuf;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;2,09;1,,
24111;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;237;1,,,
25406;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Produits laitiers et oeufs;Fromage;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;4,28;1,,
24112;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;206;1,,,
25408;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Produits laitiers et oeufs;Fromage;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;3,51;1,,
24113;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;194;1,,,
25410;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Légumes;Tomate;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;0,343;1,,
24114;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;202;1,,,
25412;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Légumes;Tomate;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;0,645;1,,
24115;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;233;1,,,
25414;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Légumes;Tomate;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;1,41;1,,
